Date,RELIANCE.NS,HDFCBANK.NS,INFY.NS,HDFC.NS,ICICIBANK.NS,TCS.NS,KOTAKBANK.NS,HINDUNILVR.NS,ITC.NS,AXISBANK.NS,LT.NS,SBIN.NS,BAJFINANCE.NS,BHARTIARTL.NS,ASIANPAINT.NS,HCLTECH.NS,MARUTI.NS,ULTRACEMCO.NS,M&M.NS,SUNPHARMA.NS,TITAN.NS,NESTLEIND.NS,TECHM.NS,BAJAJFINSV.NS,POWERGRID.NS,DRREDDY.NS,INDUSINDBK.NS,NTPC.NS,BAJAJ-AUTO.NS,ONGC.NS
2021-01-01,1987.5,1425.050048828125,1260.449951171875,2568.75,527.5,2928.25,1994.050048828125,2387.550048828125,213.85000610351562,623.7999877929688,1297.0,279.3999938964844,5280.14990234375,515.1500244140625,2775.550048828125,950.5,7691.2998046875,5290.7998046875,732.4500122070312,596.25,1558.5999755859375,18450.69921875,977.9500122070312,8870.4501953125,189.5,5241.35009765625,900.1500244140625,99.05000305175781,3481.25,93.19999694824219
2021-01-04,1990.8499755859375,1416.0,1288.25,2578.5,531.7000122070312,3039.449951171875,1965.550048828125,2426.5,213.39999389648438,624.7000122070312,1314.5999755859375,281.04998779296875,5216.2001953125,517.0999755859375,2753.699951171875,980.4000244140625,7702.2998046875,5327.2001953125,749.0999755859375,604.4000244140625,1550.9000244140625,18377.94921875,1001.9500122070312,8898.75,188.4499969482422,5272.25,897.8499755859375,99.05000305175781,3522.449951171875,96.94999694824219
2021-01-05,1966.0999755859375,1426.699951171875,1293.800048828125,2651.85009765625,537.25,3093.0,1959.75,2450.550048828125,211.4499969482422,664.4500122070312,1306.300048828125,281.75,5119.0,514.0,2793.85009765625,991.3499755859375,7655.4501953125,5341.2001953125,740.0999755859375,603.4500122070312,1570.949951171875,18558.25,1003.8499755859375,8820.849609375,188.0,5286.89990234375,921.6500244140625,97.5999984741211,3492.64990234375,94.94999694824219
2021-01-06,1914.25,1420.550048828125,1282.0999755859375,2638.85009765625,546.7000122070312,3051.5,1970.4000244140625,2417.300048828125,205.39999389648438,654.25,1314.0,285.04998779296875,5030.2998046875,525.2999877929688,2805.35009765625,978.2000122070312,7628.60009765625,5448.35009765625,736.0999755859375,605.2999877929688,1572.5999755859375,18515.25,997.1500244140625,8786.349609375,196.14999389648438,5288.2998046875,922.3499755859375,97.8499984741211,3462.699951171875,96.94999694824219
2021-01-07,1911.1500244140625,1416.25,1262.1500244140625,2661.35009765625,541.0999755859375,3032.800048828125,1952.4000244140625,2368.85009765625,202.8000030517578,671.0999755859375,1338.949951171875,287.70001220703125,5081.0,545.25,2792.25,962.5499877929688,7566.0498046875,5397.9501953125,744.4000244140625,601.9000244140625,1542.3499755859375,18127.30078125,994.75,8988.0,197.0500030517578,5270.89990234375,952.0499877929688,97.0,3437.949951171875,97.9000015258789
2021-01-08,1933.699951171875,1431.6500244140625,1312.0999755859375,2657.5,542.0499877929688,3120.89990234375,1970.699951171875,2391.199951171875,201.5,672.7000122070312,1373.4000244140625,286.0,5082.0,540.25,2844.699951171875,994.6500244140625,8014.89990234375,5591.75,770.5,620.7999877929688,1548.5999755859375,18306.25,1051.0999755859375,9171.599609375,203.5500030517578,5338.25,939.7999877929688,100.1500015258789,3529.14990234375,100.6500015258789
2021-01-11,1897.25,1451.449951171875,1376.199951171875,2751.199951171875,544.7000122070312,3176.449951171875,1938.1500244140625,2429.10009765625,202.5,666.9500122070312,1350.0,282.5,4984.25,547.1500244140625,2849.300048828125,1055.0999755859375,8232.75,5623.7001953125,789.0999755859375,621.0,1563.9000244140625,18391.44921875,1077.5999755859375,8986.099609375,203.5500030517578,5416.7998046875,929.0999755859375,99.0,3617.35009765625,102.55000305175781
2021-01-12,1957.050048828125,1481.0,1371.75,2747.550048828125,548.0,3174.85009765625,1903.449951171875,2375.89990234375,206.4499969482422,675.7000122070312,1349.800048828125,292.5,5042.2001953125,565.75,2720.550048828125,1062.0999755859375,8188.0498046875,5639.0,779.8499755859375,609.6500244140625,1527.0999755859375,17999.099609375,1064.199951171875,8959.0,203.6999969482422,5353.85009765625,927.6500244140625,100.1500015258789,3624.25,103.44999694824219
2021-01-13,1938.800048828125,1470.6500244140625,1387.1500244140625,2670.89990234375,556.5,3158.949951171875,1882.0999755859375,2372.35009765625,211.25,687.7999877929688,1352.5,306.79998779296875,4902.89990234375,578.25,2703.699951171875,1055.949951171875,8139.85009765625,5650.75,828.3499755859375,602.2999877929688,1505.800048828125,18019.30078125,1069.6500244140625,8793.650390625,205.0,5290.0,942.75,102.55000305175781,3600.89990234375,105.25
2021-01-14,1960.5999755859375,1468.75,1370.5,2684.050048828125,553.2999877929688,3250.699951171875,1892.6500244140625,2398.550048828125,214.14999389648438,676.0,1376.5999755859375,307.25,4877.35009765625,580.5499877929688,2663.89990234375,1027.699951171875,8149.4501953125,5582.35009765625,829.9000244140625,607.0499877929688,1489.949951171875,18132.599609375,1052.5999755859375,8747.349609375,205.10000610351562,5308.89990234375,969.7000122070312,102.19999694824219,3576.050048828125,105.05000305175781
2021-01-15,1937.449951171875,1466.6500244140625,1344.949951171875,2632.75,543.0,3233.35009765625,1863.9000244140625,2351.14990234375,217.85000610351562,674.8499755859375,1354.1500244140625,303.8500061035156,4883.60009765625,602.6500244140625,2590.89990234375,989.7999877929688,8024.75,5452.25,819.6500244140625,604.2999877929688,1477.25,17834.0,1007.2999877929688,8636.099609375,203.0,5212.7998046875,965.9000244140625,100.44999694824219,3580.300048828125,101.4000015258789
